DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr,fractal_spectral_lag_window,fractal_spectral_multitaper,fractal_spectral_wosa,fractal_spectral_direct,lillie_test,anderson_darling,pearson_test,cramer_test,shapiro_francia,shapiro_test,adf,kpps_level,kpps_trend,pp,hurts_tsf,max_level_shift_tsf,max_var_shift_tsf,max_kl_shift_tsf,alpha_tsf,beta_tsf,gamma_tsf,firstmin_ac_tsf,firstzero_ac_tsf,std1st_der_tsf,spreadrandomlocal_meantaul_tsf,fluctanal_prop_r1_tsf
1.11E+00,1.29E+00,1.35E+02,9.00E+00,1.01E+00,-6.23E-04,4.86E-01,2.85E+02,1.67E-01,1.10E+01,2.19E+00,3.00E+00,8.93E-03,6.74E-01,-7.78E-01,9.85E-01,6.00E+00,1.30E+00,4.47E-01,2.55E-01,6.14E-03,1.64E-01,1.504922282,1.629851739,1.593154581,1.561567185,1.68E-13,3.70E-24,1.27E-47,7.37E-10,1.01E-13,1.05E-15,0.927584593,0.01,0.01,0.01,0.999773448,431.1666667,134784.4848,0.026116847,0.75149732,0.006196757,0.248460335,9,224,340.6894493,2.6,0.446808511
0.017005116,0.30767011,30,47,0.749788308,0.001296475,0.402399128,588,0.074074074,83,0.917202434,40,0.003322259,0.301742919,-0.95751634,0.977271279,10,1.395238004,0.680851064,0.340425532,0.024543693,0.176836731,1.433115141,1.5213424,1.49825992,1.450434888,9.52E-127,3.70E-24,9.79E-124,7.37E-10,2.35E-27,6.06E-31,0.01,0.01,0.01,0.080000961,0.999732736,1092.166667,154656,17.55356652,0.73323468,0.033896396,0.266765267,47,301,76.74329849,2.82,0.680851064
0.460033819,0.782210204,24,50,0.765953913,0.003585442,0.362050164,364,0.018518519,100,0.747043902,35,0.432432432,-0.846949891,-0.959694989,0.984246156,10,1.3180595,0.638297872,0.340425532,0.055223308,0.161036732,1.431936056,1.586150543,1.549934455,1.466943357,3.70E-35,3.70E-24,9.00E-73,7.37E-10,7.90E-24,7.46E-27,0.01,0.01,0.01,0.096045631,0.999773448,1089.4,150820.9095,29.09312118,0.999888682,0.130710647,0.000100824,50,37,39.34829784,3.48,0.638297872
1.03E+00,1.19E+00,1.52E+02,9.00E+00,1.16E+00,1.59E-04,4.34E-01,3.69E+02,1.67E-01,1.10E+01,2.82E+00,3.00E+00,7.72E-03,6.39E-01,-7.82E-01,9.91E-01,6.00E+00,1.28E+00,4.47E-01,2.13E-01,6.14E-03,1.12E-01,1.65677112,1.761770036,1.724090987,1.583656088,1.29E-24,3.70E-24,2.80E-65,7.37E-10,4.12E-17,1.65E-19,0.973880437,0.01,0.01,0.028932384,0.999913465,162.6666667,15736.65909,0.016949214,0.386219234,0.010406954,0.569140611,9,259,102.6131234,3,0.446808511
8.33E-01,9.92E-01,1.59E+02,4.61E+02,1.33E+00,5.44E-06,1.32E-01,4.36E+02,1.67E-01,0.00E+00,9.15E+00,6.00E+00,8.06E-03,5.61E-01,-7.64E-01,9.95E-01,1.00E+01,1.19E+00,3.62E-01,1.28E-01,6.14E-03,3.84E-02,1.861612524,1.920397144,1.917722422,1.518196178,4.40E-59,3.70E-24,1.18E-190,7.37E-10,2.99E-21,3.03E-24,0.971405595,0.01,0.01,0.99,0.999954177,119.5,2167.552727,0.01925563,0.898467659,0.045004207,0.101512447,461,248,15.95270907,3.18,0.361702128
1.16E+00,1.33E+00,1.48E+02,1.00E+01,1.28E+00,-7.54E-04,3.67E-01,3.09E+02,1.67E-01,1.10E+01,1.97E+00,3.00E+00,7.66E-03,7.05E-01,-7.71E-01,9.90E-01,6.00E+00,1.23E+00,4.89E-01,2.55E-01,6.14E-03,1.19E-01,1.61182399,1.777223924,1.714879372,1.536771227,8.01E-11,3.70E-24,2.78E-75,7.37E-10,2.27E-14,2.14E-16,0.662218596,0.01,0.01,0.01,0.999859983,455.25,88911.61364,0.019677444,0.356635789,0.022290061,0.643359046,10,261,312.5596125,2.39,0.489361702
-0.181738916,1.388663455,140,9,0.933378509,-0.003587805,0.52,237,0.166666667,11,1.05983773,3,0.007692308,0.701101928,-0.783057851,0.975106545,7,1.368143896,0.553191489,0.340425532,0.006135923,0.249522066,1.391345774,1.569250773,1.504920476,1.554425519,8.65E-10,1.84E-19,9.06E-54,6.53E-09,5.91E-13,8.59E-15,0.976229629,0.01,0.01,0.01,0.999592719,273.1083333,55401.34386,0.01085251,0.173213581,0.014285002,0.826784311,9,260,366.6395333,2.59,0.553191489
1.20E+00,2.41E-03,1.50E+02,4.98E+02,1.32E+00,-1.47E-05,2.79E-01,3.49E+02,1.67E-01,0.00E+00,3.36E+00,5.00E+00,7.78E-03,6.98E-01,-7.53E-01,9.93E-01,8.00E+00,1.21E+00,4.26E-01,2.13E-01,6.14E-03,8.10E-02,1.668542801,1.775581796,1.758026641,1.499285853,4.93E-12,3.70E-24,1.34E-75,7.37E-10,2.01E-15,1.40E-17,0.5403071,0.01,0.01,0.01,0.999913465,324.6333333,27623.4525,0.066190911,0.545900183,0.011492172,0.454099453,498,257,80.12370372,3.05,0.425531915
-0.9649064,-0.6773335,2,6,0.1074682,0.3653761,0.9421965,7,0.0548044,11,0.112347,2,0.25,-0.1321839,0.1436782,0.6351548,5,1.9899517,0.1707317,0.8292683,0.5399612,1.0423856,0.835918562,0.777491979,0.743952933,0.953970262,1.41E-07,9.63E-12,2.55E-05,1.14E-08,2.67E-08,2.70E-09,0.743342093,0.1,0.1,0.01,0.919854134,766.6666667,2207981.818,1.741194557,0.216715048,0.000213672,0.000163407,6,4,1057.190965,3.28,0.170731707
-0.124341298,-0.577931273,3,6,0.106109358,1.966216337,0.87283237,11,0.005767013,11,0.050142519,3,0.2,0.327586207,0.155172414,0.620736836,6,2.11751937,0.195121951,0.853658537,0.490873852,0.948560752,0.956192537,0.980022415,0.935797265,0.812398321,2.56E-24,3.70E-24,2.49E-29,7.37E-10,1.56E-17,2.76E-20,0.14527306,0.1,0.1,0.01,0.977003594,5450,72378181.82,79.70167946,0.804593595,0.000100001,0.000100224,6,5,2487.817609,1.9,0.195121951
